Date,Open,High,Low,Close,Adj Close,Volume
2010-03-16,511.154755,530.867920,509.668854,528.960999,480.866547,15690402
2010-03-17,532.353821,536.167664,527.896057,529.827759,481.654510,9968152
2010-03-18,531.957581,535.721863,527.054077,533.418701,484.919006,7057451
2010-03-19,534.335022,543.101929,530.050659,540.897827,491.718079,9108967
2010-03-22,526.013916,544.340210,526.013916,531.932800,483.568268,9446201
2010-03-23,533.914001,541.838928,533.418701,540.575867,491.425385,9232555
2010-03-25,542.854309,543.349609,533.641602,540.600647,491.447937,10599676
2010-03-26,543.349609,550.283875,542.433289,545.058411,495.500397,8341847
2010-03-29,546.668152,549.763794,540.377747,541.516968,492.280792,9345272
2010-03-30,542.854309,547.658752,536.415344,538.966125,489.961975,8740250
2010-03-31,541.318848,542.359009,530.620239,532.081421,483.703247,9990413
2010-04-01,533.938782,544.092529,533.443481,540.897827,491.718079,5777967
2010-04-05,543.101929,559.521301,543.101929,557.663879,506.959686,9189816
2010-04-06,558.704041,561.180542,554.840637,556.326599,505.743927,5760365
2010-04-07,557.218140,569.452148,556.277039,559.546082,508.670776,9330868
2010-04-08,561.180542,562.914124,545.578491,548.079773,498.247101,6794859
2010-04-09,548.897034,560.189941,548.897034,557.069519,506.419373,7765435
2010-04-12,567.124207,567.124207,556.054138,558.382080,507.612579,5860948
2010-04-13,558.704041,561.675903,550.432434,555.187378,504.708405,6447744
2010-04-15,557.218140,562.121643,538.421326,540.229187,491.110199,11208408
2010-04-16,537.950745,542.359009,530.545959,537.034424,488.205994,8396400
2010-04-19,534.830322,534.830322,520.565552,525.914856,478.097443,7563608
2010-04-20,529.902039,534.805603,522.224854,526.608276,478.727753,7729453
2010-04-21,529.976379,531.808960,519.153931,522.101013,474.630310,8855050
2010-04-22,520.317932,541.814148,520.095032,532.824341,484.378693,11813633
2010-04-23,534.929382,542.854309,534.929382,538.990906,489.984619,10723025
2010-04-26,534.929382,543.745850,526.756897,530.595459,482.352448,7684965
2010-04-27,526.509216,528.985718,522.546753,525.642456,477.849823,6447243
2010-04-28,522.026733,522.026733,501.248657,503.849030,458.037933,18510893
2010-04-29,507.192322,515.067688,504.790100,512.665466,466.052643,10820807
2010-04-30,515.117188,518.683411,510.164154,511.947266,465.399780,7301398
2010-05-03,508.182922,511.451935,504.270020,507.068512,460.964600,5785013
2010-05-04,507.291382,514.621887,501.991608,505.780701,459.793884,8006460
2010-05-05,500.258057,506.969421,496.939514,505.533051,459.568695,6911684
2010-05-06,505.112030,506.845612,497.286224,499.193146,453.805298,11012977
2010-05-07,483.417694,525.023315,483.417694,511.550995,465.039490,33257378
2010-05-10,520.565552,535.920044,515.117188,534.632202,489.338715,17560458
2010-05-11,539.387146,539.387146,526.682556,528.886658,484.079987,12149208
2010-05-12,532.972961,539.610046,527.029297,536.390564,490.948120,7058317
2010-05-13,526.013916,541.566467,526.013916,530.867920,485.893311,5513861
2010-05-14,528.837158,530.471680,512.640686,516.925049,473.131683,8381619
2010-05-17,512.492065,512.492065,499.762756,503.502289,460.846130,9512346
2010-05-18,505.211090,511.872955,499.168396,505.508301,462.682220,7127953
2010-05-19,503.725189,504.096680,492.878021,494.636353,452.731262,12043982
2010-05-20,495.800293,501.743958,492.209351,495.280243,453.320648,8573412
2010-05-21,490.302429,495.230713,483.467224,493.100891,451.325867,8845755
2010-05-24,504.220490,519.550171,503.452759,506.523651,463.611511,11411184
2010-05-25,507.687622,507.687622,486.760986,488.197388,446.837830,11650994
2010-05-26,492.778961,500.258057,490.847260,499.292206,456.992645,6334809
2010-05-27,500.753357,509.024963,496.097504,506.325531,463.430145,12647449
2010-05-28,510.139374,514.621887,502.486938,513.457947,469.958344,8092532
2010-05-31,510.238434,519.327271,509.545013,517.890930,474.015778,7637273
2010-06-01,516.751709,517.593750,497.335754,500.530457,458.126038,8983616
2010-06-02,502.734589,505.706421,496.964264,500.778137,458.352753,9104583
2010-06-03,505.161560,514.126587,505.161560,510.560394,467.306274,7894858
2010-06-04,510.659454,513.135986,506.424591,510.758514,467.487640,6501620
2010-06-07,502.734589,502.734589,495.304993,499.143616,456.856628,6231806
2010-06-08,500.109467,501.595367,492.878021,493.521912,451.711243,7027122
2010-06-09,495.404053,502.734589,495.304993,498.796906,456.539337,7034405
2010-06-10,500.258057,503.948090,498.846436,502.907928,460.302094,6443879
2010-06-11,507.687622,520.491272,505.706421,518.287170,474.378418,10756208
2010-06-14,522.497253,529.976379,519.624451,526.756897,482.130615,7334597
2010-06-15,527.598877,529.926819,520.119812,528.044678,483.309265,8765191
2010-06-16,529.976379,531.288940,522.596313,524.007935,479.614532,5460960
2010-06-17,526.657837,533.443481,524.181274,530.669800,485.712006,9713558
2010-06-18,535.028442,539.783386,520.342651,522.224854,477.982513,17665260
2010-06-21,525.518616,530.818359,525.518616,527.821777,483.105316,5442424
2010-06-22,526.509216,532.353821,523.512634,526.905457,482.266663,5957438
2010-06-23,524.874695,528.738098,522.051453,524.379395,479.954529,5380714
2010-06-24,524.528015,527.896057,518.732910,521.085632,476.939850,8678626
2010-06-25,520.070251,528.985718,516.603149,526.484436,481.881226,9380179
2010-06-28,531.957581,540.873047,527.574097,539.956726,494.212097,14524622
2010-06-29,540.377747,540.377747,527.103577,528.713318,483.921204,6559747
2010-06-30,525.023315,541.838928,523.785034,539.808167,494.076233,12293253
2010-07-01,536.910645,538.074585,528.242798,533.072021,487.910736,6142980
2010-07-02,532.948181,536.885864,527.648438,529.456299,484.601257,5052862
2010-07-05,529.976379,531.536560,526.360657,529.134338,484.306549,2953374
2010-07-06,527.747498,535.870483,527.747498,531.908020,486.845337,4271186
