"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"15-Dec-2021","EQ","3,620.00","3,623.00","3,558.15","3,623.80","3,571.00","3,570.35","3,575.02","3,989.90","2,755.00",1603233,"5,731,595,939.60",109534
"14-Dec-2021","EQ","3,605.00","3,635.00","3,576.70","3,609.65","3,619.95","3,623.80","3,618.04","3,989.90","2,755.00",1747007,"6,320,734,400.10",105436
"13-Dec-2021","EQ","3,650.00","3,662.00","3,601.70","3,636.80","3,615.00","3,609.65","3,626.62","3,989.90","2,755.00",1883864,"6,832,065,637.60",93875
"10-Dec-2021","EQ","3,585.00","3,642.00","3,575.10","3,601.75","3,630.00","3,636.80","3,611.25","3,989.90","2,706.15",1510718,"5,455,578,667.05",69648
"09-Dec-2021","EQ","3,610.00","3,634.75","3,566.00","3,626.90","3,600.00","3,601.75","3,593.64","3,989.90","2,706.15",1567957,"5,634,666,502.40",100995
"08-Dec-2021","EQ","3,601.00","3,646.45","3,601.00","3,584.50","3,624.00","3,626.90","3,631.02","3,989.90","2,706.15",1428660,"5,187,489,131.60",88625
"07-Dec-2021","EQ","3,562.50","3,598.00","3,524.30","3,536.40","3,589.90","3,584.50","3,572.57","3,989.90","2,706.15",1484458,"5,303,328,386.25",107141
"06-Dec-2021","EQ","3,640.45","3,658.00","3,522.00","3,640.45","3,533.80","3,536.40","3,585.65","3,989.90","2,706.15",1849642,"6,632,172,778.45",117199
"03-Dec-2021","EQ","3,646.45","3,665.95","3,630.85","3,642.90","3,641.00","3,640.45","3,644.63","3,989.90","2,624.45",2486263,"9,061,499,107.35",136470
"02-Dec-2021","EQ","3,589.20","3,648.00","3,574.10","3,577.80","3,637.00","3,642.90","3,614.21","3,989.90","2,624.45",3152938,"11,395,387,802.95",146031
"01-Dec-2021","EQ","3,535.00","3,590.00","3,535.00","3,529.15","3,581.00","3,577.80","3,568.53","3,989.90","2,624.45",2102118,"7,501,467,334.90",177235
"30-Nov-2021","EQ","3,491.00","3,563.75","3,491.00","3,502.00","3,535.00","3,529.15","3,535.48","3,989.90","2,624.45",5588446,"19,757,846,113.05",208979
"29-Nov-2021","EQ","3,447.15","3,529.35","3,406.45","3,446.85","3,503.50","3,502.00","3,490.28","3,989.90","2,624.45",2981745,"10,407,130,645.30",206893
"26-Nov-2021","EQ","3,425.00","3,490.00","3,411.90","3,445.90","3,439.20","3,446.85","3,454.40","3,989.90","2,624.45",1941251,"6,705,853,480.80",156945
"25-Nov-2021","EQ","3,443.90","3,463.00","3,434.05","3,443.30","3,450.00","3,445.90","3,451.54","3,989.90","2,624.45",1849619,"6,384,030,188.95",102359
"24-Nov-2021","EQ","3,472.20","3,493.05","3,424.00","3,464.25","3,431.95","3,443.30","3,469.80","3,989.90","2,624.45",2161746,"7,500,832,834.10",163891
"23-Nov-2021","EQ","3,445.00","3,480.95","3,407.80","3,458.40","3,472.00","3,464.25","3,455.05","3,989.90","2,624.45",2153461,"7,440,308,037.35",160137
"22-Nov-2021","EQ","3,478.40","3,515.95","3,440.30","3,475.70","3,463.75","3,458.40","3,482.50","3,989.90","2,624.45",3167936,"11,032,349,106.20",169460
"18-Nov-2021","EQ","3,515.15","3,520.85","3,451.60","3,521.90","3,471.95","3,475.70","3,478.49","3,989.90","2,607.05",2136598,"7,432,143,867.40",135284
"17-Nov-2021","EQ","3,550.60","3,562.85","3,506.40","3,556.40","3,520.80","3,521.90","3,533.85","3,989.90","2,607.05",1632914,"5,770,466,506.80",126358
"16-Nov-2021","EQ","3,569.00","3,575.55","3,542.00","3,553.30","3,548.00","3,556.40","3,560.79","3,989.90","2,607.05",2013204,"7,168,605,743.85",105284
"15-Nov-2021","EQ","3,528.00","3,569.60","3,528.00","3,526.05","3,550.00","3,553.30","3,554.41","3,989.90","2,607.05",1809157,"6,430,484,084.55",113981
"12-Nov-2021","EQ","3,506.00","3,534.15","3,485.70","3,488.20","3,524.00","3,526.05","3,509.52","3,989.90","2,607.05",1747259,"6,132,048,785.70",98323
"11-Nov-2021","EQ","3,480.00","3,510.05","3,436.00","3,484.30","3,505.00","3,488.20","3,464.62","3,989.90","2,607.05",1284514,"4,450,347,031.55",98386
"10-Nov-2021","EQ","3,498.00","3,519.70","3,480.20","3,505.70","3,484.95","3,484.30","3,494.09","3,989.90","2,607.05",1516489,"5,298,754,955.55",115924
"09-Nov-2021","EQ","3,508.00","3,535.00","3,496.00","3,502.75","3,503.00","3,505.70","3,508.51","3,989.90","2,607.05",1782692,"6,254,594,395.95",90441
"08-Nov-2021","EQ","3,548.00","3,548.00","3,481.20","3,508.65","3,506.00","3,502.75","3,503.30","3,989.90","2,607.05",2526082,"8,849,622,221.80",144893
"04-Nov-2021","EQ","3,512.95","3,513.25","3,505.00","3,492.25","3,508.65","3,508.65","3,509.12","3,989.90","2,600.05",328991,"1,154,468,248.30",42244
"03-Nov-2021","EQ","3,504.20","3,519.90","3,466.05","3,484.20","3,488.00","3,492.25","3,492.58","3,989.90","2,600.05",1537639,"5,370,327,266.85",98779
"02-Nov-2021","EQ","3,494.00","3,513.60","3,469.75","3,476.40","3,484.00","3,484.20","3,490.81","3,989.90","2,600.05",3087414,"10,777,567,152.90",134659
"01-Nov-2021","EQ","3,437.95","3,487.00","3,412.95","3,397.75","3,482.35","3,476.40","3,445.74","3,989.90","2,600.05",2020718,"6,962,871,688.90",154841
"29-Oct-2021","EQ","3,400.05","3,461.00","3,385.95","3,421.65","3,404.00","3,397.75","3,424.21","3,989.90","2,600.05",3960501,"13,561,601,567.60",241935
"28-Oct-2021","EQ","3,518.00","3,518.00","3,415.00","3,489.75","3,423.00","3,421.65","3,450.19","3,989.90","2,600.05",2424942,"8,366,511,722.10",187690
"27-Oct-2021","EQ","3,483.00","3,511.25","3,483.00","3,482.60","3,488.45","3,489.75","3,495.53","3,989.90","2,600.05",2510813,"8,776,620,129.00",122328
"26-Oct-2021","EQ","3,494.50","3,529.00","3,475.00","3,492.95","3,485.90","3,482.60","3,494.69","3,989.90","2,600.05",3878763,"13,555,085,104.10",155172
"25-Oct-2021","EQ","3,503.00","3,514.55","3,450.00","3,498.85","3,491.00","3,492.95","3,477.23","3,989.90","2,600.05",2595594,"9,025,471,433.60",139684
"22-Oct-2021","EQ","3,560.00","3,561.60","3,485.00","3,532.50","3,501.85","3,498.85","3,511.44","3,989.90","2,600.05",2691670,"9,451,650,099.45",163976
"21-Oct-2021","EQ","3,604.10","3,607.45","3,511.25","3,608.85","3,532.85","3,532.50","3,546.27","3,989.90","2,600.05",4871211,"17,274,650,004.55",295349
"20-Oct-2021","EQ","3,612.00","3,630.00","3,578.30","3,634.15","3,607.95","3,608.85","3,606.05","3,989.90","2,600.05",2933693,"10,579,039,337.05",175675
"19-Oct-2021","EQ","3,669.00","3,690.10","3,625.20","3,647.15","3,634.45","3,634.15","3,661.85","3,989.90","2,600.05",3135441,"11,481,500,581.85",191609
"18-Oct-2021","EQ","3,603.45","3,652.70","3,601.45","3,611.45","3,649.00","3,647.15","3,631.23","3,989.90","2,600.05",3590107,"13,036,517,799.15",213590
"14-Oct-2021","EQ","3,625.00","3,670.00","3,608.20","3,655.20","3,614.80","3,611.45","3,626.77","3,989.90","2,600.05",6442299,"23,364,720,249.30",406019
"13-Oct-2021","EQ","3,650.00","3,675.45","3,645.00","3,652.85","3,658.05","3,655.20","3,655.85","3,989.90","2,600.05",3545655,"12,962,366,655.15",228263
"12-Oct-2021","EQ","3,706.00","3,707.00","3,630.60","3,685.60","3,656.20","3,652.85","3,658.54","3,989.90","2,600.05",5752877,"21,047,120,430.00",371571
"11-Oct-2021","EQ","3,755.00","3,757.50","3,660.00","3,935.65","3,687.95","3,685.60","3,702.67","3,989.90","2,600.05",11845402,"43,859,658,074.25",704881
"08-Oct-2021","EQ","3,925.00","3,989.90","3,900.00","3,892.90","3,943.00","3,935.65","3,947.83","3,989.90","2,600.05",2934339,"11,584,283,174.70",178433
"07-Oct-2021","EQ","3,830.00","3,899.00","3,820.05","3,810.90","3,898.00","3,892.90","3,868.01","3,981.75","2,600.05",1647233,"6,371,521,151.00",100510
"06-Oct-2021","EQ","3,836.00","3,857.45","3,795.00","3,833.30","3,813.80","3,810.90","3,830.18","3,981.75","2,600.05",1678154,"6,427,634,316.05",105524
"05-Oct-2021","EQ","3,754.00","3,840.00","3,741.60","3,773.30","3,839.10","3,833.30","3,785.15","3,981.75","2,600.05",1877966,"7,108,385,858.15",107053
"04-Oct-2021","EQ","3,724.80","3,783.65","3,707.45","3,730.20","3,779.00","3,773.30","3,762.58","3,981.75","2,600.05",1356860,"5,105,290,641.50",82301
"01-Oct-2021","EQ","3,781.75","3,810.00","3,725.00","3,775.55","3,728.65","3,730.20","3,747.99","3,981.75","2,366.00",1578374,"5,915,725,343.65",132388
"30-Sep-2021","EQ","3,805.00","3,805.00","3,750.10","3,791.90","3,778.70","3,775.55","3,773.28","3,981.75","2,366.00",2252412,"8,498,981,489.30",145940
"29-Sep-2021","EQ","3,759.80","3,806.00","3,722.15","3,779.15","3,794.55","3,791.90","3,767.14","3,981.75","2,366.00",2489161,"9,377,015,958.30",138418
"28-Sep-2021","EQ","3,850.00","3,850.00","3,751.25","3,836.95","3,777.05","3,779.15","3,784.75","3,981.75","2,366.00",2253075,"8,527,330,472.40",140925
"27-Sep-2021","EQ","3,900.00","3,904.00","3,802.90","3,871.30","3,839.00","3,836.95","3,842.81","3,981.75","2,366.00",1673362,"6,430,415,744.60",126569
