Date,Open,High,Low,Close,Adj Close,Volume
2010-01-18,400.000000,414.500000,396.500000,401.100006,319.906921,7261084
2010-01-19,401.100006,401.100006,389.325012,390.350006,311.332947,5154850
2010-01-20,396.100006,396.100006,385.450012,389.700012,310.814484,4347054
2010-01-21,386.125000,395.975006,383.950012,385.325012,307.325073,5089504
2010-01-22,380.500000,382.500000,372.350006,378.924988,302.220673,7574990
2010-01-25,378.750000,382.750000,370.575012,378.100006,301.562622,3008286
2010-01-27,375.000000,379.850006,370.075012,371.649994,297.204315,4844398
2010-01-28,374.750000,378.975006,363.850006,370.875000,296.584534,6537196
2010-01-29,367.000000,369.899994,356.075012,368.100006,294.365387,5473326
2010-02-01,367.174988,381.399994,360.000000,373.075012,298.343903,3378012
2010-02-02,377.500000,381.325012,367.500000,369.200012,295.245087,4739188
2010-02-03,372.000000,378.450012,367.750000,376.475006,301.062927,2977676
2010-02-04,376.475006,376.950012,366.250000,369.350006,295.365082,2716612
2010-02-05,367.500000,367.500000,358.299988,361.750000,289.287445,4607118
2010-02-06,null,null,null,null,null,null
2010-02-08,364.500000,367.375000,354.075012,362.075012,289.547363,4170344
2010-02-09,362.500000,370.975006,360.524994,367.575012,293.945679,3005894
2010-02-10,369.950012,371.850006,364.049988,366.149994,292.806091,2337374
2010-02-11,368.975006,373.975006,367.500000,371.350006,296.964569,2413156
2010-02-15,375.000000,375.000000,369.274994,373.075012,298.343903,1956482
2010-02-16,373.625000,382.475006,371.100006,379.075012,303.142059,1660490
2010-02-17,382.450012,383.975006,376.274994,379.325012,303.342072,2528290
2010-02-18,380.000000,383.475006,377.750000,379.399994,303.401917,1814806
2010-02-19,377.450012,379.750000,372.899994,375.274994,300.103149,2215880
2010-02-22,378.500000,381.850006,376.899994,378.625000,302.782135,2143460
2010-02-23,379.500000,382.500000,375.625000,381.049988,304.721436,1853052
2010-02-24,378.000000,385.350006,376.049988,382.674988,306.020966,4076058
2010-02-25,384.899994,384.899994,380.625000,383.125000,306.380798,2672984
2010-02-26,383.549988,389.274994,373.075012,380.899994,304.601440,3015934
2010-03-02,381.000000,384.500000,377.500000,381.600006,305.161316,4053352
2010-03-03,384.500000,387.000000,382.075012,384.375000,307.380463,2754742
2010-03-04,384.000000,385.000000,378.500000,381.950012,305.441284,2053606
2010-03-05,382.500000,383.475006,380.075012,381.299988,304.921387,1287312
2010-03-08,383.799988,385.000000,380.149994,381.350006,304.961487,3015740
2010-03-09,381.500000,389.250000,381.500000,384.350006,307.360352,3457732
2010-03-10,381.850006,392.225006,380.000000,390.024994,311.898560,4587874
2010-03-11,390.024994,397.450012,385.975006,395.799988,316.516846,3214030
2010-03-12,400.000000,400.000000,396.000000,398.475006,318.656006,2510976
2010-03-15,398.475006,410.000000,395.575012,409.000000,327.072815,6054434
2010-03-16,410.750000,415.975006,407.899994,414.500000,331.471069,3088856
2010-03-17,417.000000,422.950012,415.000000,420.350006,336.149200,4174794
2010-03-18,422.500000,422.500000,410.250000,412.924988,330.211548,3724554
2010-03-19,402.625000,417.225006,402.625000,410.450012,328.232391,4716624
2010-03-22,407.450012,416.899994,403.075012,413.799988,330.911255,3310110
2010-03-23,415.000000,416.500000,411.049988,414.325012,331.331024,1694964
2010-03-25,412.049988,418.399994,409.000000,414.899994,331.790833,5517582
2010-03-26,415.000000,418.000000,411.149994,412.524994,329.891571,1997806
2010-03-29,412.000000,414.649994,404.274994,405.975006,324.653748,3443266
2010-03-30,404.299988,408.049988,398.575012,400.000000,319.875549,3097160
2010-03-31,400.000000,403.625000,388.649994,390.325012,312.138611,7083046
2010-04-01,393.174988,404.899994,391.049988,403.899994,322.994324,5781432
2010-04-05,408.500000,408.500000,399.625000,401.674988,321.215088,3001836
2010-04-06,404.450012,404.450012,396.075012,398.024994,318.296112,3702366
2010-04-07,395.000000,404.500000,390.575012,399.024994,319.095734,3024558
2010-04-08,398.000000,403.750000,395.000000,399.725006,319.655670,4494438
2010-04-09,401.000000,403.950012,394.125000,395.799988,316.516846,3018012
2010-04-12,395.500000,400.000000,395.049988,399.049988,319.115845,2869882
2010-04-13,400.000000,411.899994,393.625000,410.424988,328.212341,8404916
